date,timestamp,count
2025-05-15,00:29:00,3461
2025-05-15,00:59:00,532
2025-05-15,03:29:00,0
2025-05-15,05:29:00,5
2025-05-15,05:59:00,10008
2025-05-15,06:29:00,22589
2025-05-15,06:59:00,49669
2025-05-15,07:29:00,93829
2025-05-15,07:59:00,134142
2025-05-15,08:29:00,139602
2025-05-15,08:59:00,100709
2025-05-15,09:29:00,70682
2025-05-15,09:59:00,54794
2025-05-15,10:29:00,46398
2025-05-15,10:59:00,43289
2025-05-15,11:29:00,43924
2025-05-15,11:59:00,44195
2025-05-15,12:29:00,52929
2025-05-15,12:59:00,50778
2025-05-15,13:29:00,48711
2025-05-15,13:59:00,46171
2025-05-15,14:29:00,44738
2025-05-15,14:59:00,44017
2025-05-15,15:29:00,50121
2025-05-15,15:59:00,50814
2025-05-15,16:29:00,77227
2025-05-15,16:59:00,79327
2025-05-15,17:29:00,108460
2025-05-15,17:59:00,136833
2025-05-15,18:29:00,150306
2025-05-15,18:59:00,112555
2025-05-15,19:29:00,81395
2025-05-15,19:59:00,60644
2025-05-15,20:29:00,55305
2025-05-15,20:59:00,50410
2025-05-15,21:29:00,56286
2025-05-15,21:59:00,49743
2025-05-15,22:29:00,36271
2025-05-15,22:59:00,19020
2025-05-15,23:29:00,12397
