date,timestamp,count
2025-05-07,00:29:00,3282
2025-05-07,00:59:00,444
2025-05-07,03:29:00,1
2025-05-07,05:29:00,8
2025-05-07,05:59:00,8871
2025-05-07,06:29:00,21012
2025-05-07,06:59:00,48111
2025-05-07,07:29:00,95395
2025-05-07,07:59:00,137138
2025-05-07,08:29:00,147307
2025-05-07,08:59:00,107299
2025-05-07,09:29:00,72381
2025-05-07,09:59:00,55233
2025-05-07,10:29:00,43779
2025-05-07,10:59:00,40719
2025-05-07,11:29:00,41061
2025-05-07,11:59:00,40514
2025-05-07,12:29:00,51171
2025-05-07,12:59:00,47875
2025-05-07,13:29:00,45259
2025-05-07,13:59:00,40594
2025-05-07,14:29:00,38951
2025-05-07,14:59:00,38345
2025-05-07,15:29:00,43131
2025-05-07,15:59:00,44095
2025-05-07,16:29:00,69808
2025-05-07,16:59:00,75556
2025-05-07,17:29:00,105723
2025-05-07,17:59:00,138201
2025-05-07,18:29:00,152652
2025-05-07,18:59:00,113689
2025-05-07,19:29:00,81155
2025-05-07,19:59:00,60424
2025-05-07,20:29:00,53075
2025-05-07,20:59:00,48208
2025-05-07,21:29:00,55069
2025-05-07,21:59:00,49762
2025-05-07,22:29:00,34362
2025-05-07,22:59:00,18095
2025-05-07,23:29:00,12079
