date,timestamp,count
2025-05-06,00:29:00,3192
2025-05-06,00:59:00,485
2025-05-06,03:29:00,0
2025-05-06,05:29:00,12
2025-05-06,05:59:00,9736
2025-05-06,06:29:00,22281
2025-05-06,06:59:00,49671
2025-05-06,07:29:00,96668
2025-05-06,07:59:00,136028
2025-05-06,08:29:00,142936
2025-05-06,08:59:00,104376
2025-05-06,09:29:00,71476
2025-05-06,09:59:00,55647
2025-05-06,10:29:00,45574
2025-05-06,10:59:00,43345
2025-05-06,11:29:00,44048
2025-05-06,11:59:00,43302
2025-05-06,12:29:00,52473
2025-05-06,12:59:00,49896
2025-05-06,13:29:00,47862
2025-05-06,13:59:00,44800
2025-05-06,14:29:00,43583
2025-05-06,14:59:00,42917
2025-05-06,15:29:00,48899
2025-05-06,15:59:00,49444
2025-05-06,16:29:00,74554
2025-05-06,16:59:00,75657
2025-05-06,17:29:00,106670
2025-05-06,17:59:00,137234
2025-05-06,18:29:00,150506
2025-05-06,18:59:00,111997
2025-05-06,19:29:00,80312
2025-05-06,19:59:00,58945
2025-05-06,20:29:00,53102
2025-05-06,20:59:00,48231
2025-05-06,21:29:00,54006
2025-05-06,21:59:00,47965
2025-05-06,22:29:00,34102
2025-05-06,22:59:00,17454
2025-05-06,23:29:00,11324
