==12:08:33==,,,
編號,站名,往淡水,往象山
R02,象山,----,----
R03,台北101/世貿,----,111111
R04,信義安和,121111,----
R05,大安,----,111111
R06,大安森林公園,121111,----
R07,東門,111111,111122
R08,中正紀念堂,121111,----
R09,台大醫院,----,111121
R10,台北車站,----,----
R11,中山,221122,----
R12,雙連,----,122222
R13,民權西路,----,----
R14,圓山,222222,----
R15,劍潭,----,111111
R16,士林,111121,----
R17,芝山,----,122221
R18,明德,----,----
R19,石牌,222221,----
R20,唭哩岸,----,----
R21,奇岩,111111,111111
R22,北投,----,112211
R23,新北投,----,----
R24,復興崗,122211,----
R25,忠義,----,----
R26,關渡,----,111111
R27,竹圍,----,----
R28,淡水,111111,111111
==13:00:06==,,,
R02,象山,111111,----
R03,台北101/世貿,----,111111
R04,信義安和,----,----
R05,大安,----,----
R06,大安森林公園,111111,111111
R07,東門,----,122112
R08,中正紀念堂,----,----
R09,台大醫院,222222,----
R10,台北車站,222222,----
R11,中山,----,221111
R12,雙連,----,----
R13,民權西路,----,222222
R14,圓山,322332,----
R15,劍潭,----,----
R16,士林,111221,121121
R17,芝山,----,----
R18,明德,222222,112111
R19,石牌,----,----
R20,唭哩岸,----,----
R21,奇岩,111111,111111
R22,北投,----,----
R23,新北投,222211,222221
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,----,----
R27,竹圍,111211,111111
R28,淡水,----,111111
==14:00:06==,,,
R02,象山,221111,----
R03,台北101/世貿,----,----
R04,信義安和,----,111121
R05,大安,111111,----
R06,大安森林公園,----,----
R07,東門,----,111111
R08,中正紀念堂,112111,222222
R09,台大醫院,111112,----
R10,台北車站,----,----
R11,中山,----,----
R12,雙連,222222,111121
R13,民權西路,----,----
R14,圓山,121222,222222
R15,劍潭,----,----
R16,士林,----,111111
R17,芝山,222222,----
R18,明德,----,----
R19,石牌,111111,111111
R20,唭哩岸,----,----
R21,奇岩,----,111111
R22,北投,122221,----
R23,新北投,----,122111
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,111211,----
R27,竹圍,----,----
R28,淡水,111111,111111
==15:01:04==,,,
R02,象山,----,----
R03,台北101/世貿,111111,111111
R04,信義安和,----,----
R05,大安,111111,----
R06,大安森林公園,----,111111
R07,東門,----,112122
R08,中正紀念堂,121111,----
R09,台大醫院,----,----
R10,台北車站,----,111112
R11,中山,211122,----
R12,雙連,----,222222
R13,民權西路,----,----
R14,圓山,222222,----
R15,劍潭,----,111111
R16,士林,111111,----
R17,芝山,----,222221
R18,明德,122222,----
R19,石牌,----,----
R20,唭哩岸,----,111111
R21,奇岩,111111,----
R22,北投,----,----
R23,新北投,222211,122211
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,----,112211
R27,竹圍,112211,----
R28,淡水,----,111111
==16:10:34==,,,
R02,象山,----,----
R03,台北101/世貿,----,----
R04,信義安和,211111,----
R05,大安,111111,121222
R06,大安森林公園,----,----
R07,東門,112111,111111
R08,中正紀念堂,----,----
R09,台大醫院,111122,222222
R10,台北車站,----,----
R11,中山,----,222222
R12,雙連,----,----
R13,民權西路,232333,----
R14,圓山,----,222222
R15,劍潭,111122,----
R16,士林,----,----
R17,芝山,222222,111111
R18,明德,----,222221
R19,石牌,----,----
R20,唭哩岸,111111,----
R21,奇岩,----,111111
R22,北投,112221,----
R23,新北投,----,222211
R24,復興崗,----,----
R25,忠義,----,----
R26,關渡,----,----
R27,竹圍,111111,111111
R28,淡水,----,----
==17:01:35==,,,
R02,象山,----,111111
R03,台北101/世貿,111111,----
R04,信義安和,111111,----
R05,大安,111111,----
R06,大安森林公園,----,122222
R07,東門,111111,111111
R08,中正紀念堂,112111,----
R09,台大醫院,111111,----
R10,台北車站,----,333232
R11,中山,221222,----
R12,雙連,211222,----
R13,民權西路,----,222232
R14,圓山,----,----
R15,劍潭,111121,222222
R16,士林,----,----
R17,芝山,222222,212222
R18,明德,----,----
R19,石牌,111111,223322
R20,唭哩岸,----,----
R21,奇岩,122221,111211
R22,北投,----,----
R23,新北投,----,----
R24,復興崗,122211,222322
R25,忠義,----,----
R26,關渡,111111,111111
R27,竹圍,----,----
R28,淡水,111111,222212
==18:07:52==,,,
R02,象山,----,111111
R03,台北101/世貿,----,111111
R04,信義安和,111111,----
R05,大安,121111,121111
R06,大安森林公園,----,222333
R07,東門,----,222222
R08,中正紀念堂,122222,232233
R09,台大醫院,----,----
R10,台北車站,222223,222222
R11,中山,222222,----
R12,雙連,----,333333
R13,民權西路,----,333333
R14,圓山,333333,334433
R15,劍潭,222222,----
R16,士林,222222,332232
R17,芝山,----,----
R18,明德,111221,233332
R19,石牌,----,----
R20,唭哩岸,222222,111211
R21,奇岩,111111,223322
R22,北投,----,----
R23,新北投,222221,----
R24,復興崗,----,223322
R25,忠義,----,----
R26,關渡,111211,----
R27,竹圍,----,222211
R28,淡水,111111,222221
==19:00:11==,,,
R02,象山,111111,----
R03,台北101/世貿,----,111111
R04,信義安和,111111,111121
R05,大安,111111,222232
R06,大安森林公園,----,----
R07,東門,----,111121
R08,中正紀念堂,122211,122122
R09,台大醫院,----,----
R10,台北車站,222233,333333
R11,中山,221122,----
R12,雙連,----,----
R13,民權西路,----,333333
R14,圓山,222222,323333
R15,劍潭,----,222222
R16,士林,111121,----
R17,芝山,222222,333332
R18,明德,111111,----
R19,石牌,----,122222
R20,唭哩岸,222221,----
R21,奇岩,----,----
R22,北投,111111,----
R23,新北投,112211,----
R24,復興崗,----,334322
R25,忠義,----,----
R26,關渡,111111,222221
R27,竹圍,----,222221
