==00:12:44==,,,
編號,站名,往南港展覽館,往動物園
==17:00:02==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1211,2112
BR05,辛亥,1111,1112
BR06,麟光,3112,1112
BR07,六張犁,3321,----
BR08,科技大樓,2234,2233
BR09,大安,2221,2123
BR10,大安森林公園,2221,3223
BR11,忠孝復興,2132,3222
BR12,南京復興,3223,2322
BR13,中山國中,3223,2222
BR14,松山機場,2223,2222
BR15,大直,2123,2222
BR16,劍南路,2112,----
BR17,西湖,1111,2222
BR18,港墘,1111,2222
BR19,文德,1111,1111
BR20,內湖,1111,1111
BR21,大湖公園,1111,1121
BR22,葫洲,1211,1121
BR23,東湖,----,1121
BR24,南港展覽館,1211,----
==18:09:51==,,,
BR01,動物園,1111,----
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,2221,1111
BR06,麟光,2111,1111
BR07,六張犁,2322,1111
BR08,科技大樓,3332,3323
BR09,大安,3333,3223
BR10,大安森林公園,3233,----
BR11,忠孝復興,3434,3323
BR12,南京復興,4444,3333
BR13,中山國中,4334,3333
BR14,松山機場,3233,2333
BR15,大直,3333,3433
BR16,劍南路,3333,3233
BR17,西湖,2122,2233
BR18,港墘,1121,2233
BR19,文德,1111,2222
BR20,內湖,1111,2222
BR21,大湖公園,1111,2133
BR22,葫洲,1111,1133
BR23,東湖,1211,2232
BR24,南港展覽館,1111,1111
==19:00:05==,,,
BR01,動物園,1311,1111
BR02,木柵,1111,----
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,2211,1111
BR06,麟光,1111,1111
BR07,六張犁,2211,----
BR08,科技大樓,2222,----
BR09,大安,2332,2123
BR10,大安森林公園,2332,3223
BR11,忠孝復興,3334,----
BR12,南京復興,4434,2222
BR13,中山國中,3333,2323
BR14,松山機場,3333,2322
BR15,大直,3333,2321
BR16,劍南路,3334,2234
BR17,西湖,2211,2232
BR18,港墘,1111,2232
BR19,文德,1111,2221
BR20,內湖,1111,2222
BR21,大湖公園,----,2112
BR22,葫洲,2211,1111
BR23,東湖,----,----
BR24,南港展覽館,2211,1111
==20:00:07==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,1111,----
BR06,麟光,2221,1111
BR07,六張犁,2322,1111
BR08,科技大樓,1121,1112
BR09,大安,1121,2112
BR10,大安森林公園,2222,2112
BR11,忠孝復興,3122,2222
BR12,南京復興,2223,2212
BR13,中山國中,2222,2211
BR14,松山機場,1132,2111
BR15,大直,1122,1111
BR16,劍南路,1122,1112
BR17,西湖,2111,1112
BR18,港墘,1111,1111
BR19,文德,1111,1121
BR20,內湖,1111,1111
BR21,大湖公園,1111,1121
BR22,葫洲,2221,1111
BR23,東湖,2333,1111
BR24,南港展覽館,1111,1111
==21:00:06==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,2111,1111
BR06,麟光,----,1111
BR07,六張犁,----,----
BR08,科技大樓,2221,----
BR09,大安,2222,1122
BR10,大安森林公園,2222,1122
BR11,忠孝復興,3223,----
BR12,南京復興,3223,1222
BR13,中山國中,3223,----
BR14,松山機場,2222,1122
BR15,大直,2222,2211
BR16,劍南路,----,1111
BR17,西湖,----,1122
BR18,港墘,----,1122
BR19,文德,1111,1111
BR20,內湖,1111,1111
BR21,大湖公園,1111,1111
BR22,葫洲,1111,1111
BR23,東湖,----,----
BR24,南港展覽館,1111,1111
==22:04:07==,,,
BR01,動物園,1111,----
BR02,木柵,----,----
BR03,萬芳社區,1111,----
BR04,萬芳醫院,1111,1111
BR05,辛亥,2211,1111
BR06,麟光,2221,1111
BR07,六張犁,2312,1111
BR08,科技大樓,3312,1112
BR09,大安,----,1112
BR10,大安森林公園,3222,----
BR11,忠孝復興,3223,3333
BR12,南京復興,----,3233
BR13,中山國中,----,----
BR14,松山機場,3211,2222
BR15,大直,----,2232
BR16,劍南路,1111,2232
BR17,西湖,1111,2232
BR18,港墘,----,2232
BR19,文德,1111,2111
BR20,內湖,1111,1111
BR21,大湖公園,1111,1111
BR22,葫洲,1112,1111
BR23,東湖,----,----
BR24,南港展覽館,----,----
