==00:00:10==,,,
編號,站名,往南港展覽館,往動物園
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,----
BR05,辛亥,----,----
BR06,麟光,----,----
BR07,六張犁,----,----
BR08,科技大樓,2111,1111
BR09,大安,2121,----
BR10,大安森林公園,----,----
BR11,忠孝復興,----,----
BR12,南京復興,----,1111
BR13,中山國中,1111,1111
BR14,松山機場,----,----
BR15,大直,----,----
BR16,劍南路,----,1121
BR17,西湖,1111,1111
BR18,港墘,1111,----
BR19,文德,----,----
BR20,內湖,----,----
BR21,大湖公園,----,1111
BR22,葫洲,----,1111
BR23,東湖,1111,----
BR24,南港展覽館,1111,1111
==06:00:06==,,,
BR01,動物園,----,----
BR02,木柵,----,----
BR03,萬芳社區,----,----
BR04,萬芳醫院,1111,----
BR05,辛亥,1111,----
BR06,麟光,----,----
BR07,六張犁,----,----
BR08,科技大樓,----,----
BR09,大安,----,----
BR10,大安森林公園,----,----
BR11,忠孝復興,----,----
BR12,南京復興,----,----
BR13,中山國中,----,----
BR14,松山機場,----,----
BR15,大直,----,1111
BR16,劍南路,----,----
BR17,西湖,----,----
BR18,港墘,----,----
BR19,文德,----,----
BR20,內湖,----,----
BR21,大湖公園,----,1111
BR22,葫洲,----,----
BR23,東湖,----,----
BR24,南港展覽館,----,----
==07:00:07==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,----,2211
BR05,辛亥,1111,----
BR06,麟光,1111,1112
BR07,六張犁,1111,1121
BR08,科技大樓,1111,1122
BR09,大安,1111,1222
BR10,大安森林公園,1111,3222
BR11,忠孝復興,1111,3222
BR12,南京復興,1111,----
BR13,中山國中,2111,2222
BR14,松山機場,1111,----
BR15,大直,1111,2221
BR16,劍南路,1112,1111
BR17,西湖,1111,1111
BR18,港墘,1111,----
BR19,文德,1111,1111
BR20,內湖,1111,1111
BR21,大湖公園,1111,----
BR22,葫洲,1111,1111
BR23,東湖,1111,1111
BR24,南港展覽館,1111,----
==08:00:07==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1112
BR05,辛亥,1211,1111
BR06,麟光,1111,1122
BR07,六張犁,1111,3223
BR08,科技大樓,2111,3333
BR09,大安,3323,3333
BR10,大安森林公園,3223,3333
BR11,忠孝復興,3222,3333
BR12,南京復興,2233,4333
BR13,中山國中,3322,3333
BR14,松山機場,3223,3332
BR15,大直,3322,3333
BR16,劍南路,3222,2222
BR17,西湖,2332,2222
BR18,港墘,2223,2222
BR19,文德,2223,1211
BR20,內湖,2222,1221
BR21,大湖公園,2112,2232
BR22,葫洲,2212,2232
BR23,東湖,1221,2133
BR24,南港展覽館,1222,1111
==09:00:12==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,1111
BR04,萬芳醫院,1111,1111
BR05,辛亥,1111,1111
BR06,麟光,1111,3223
BR07,六張犁,2111,1222
BR08,科技大樓,2211,3323
BR09,大安,2223,2223
BR10,大安森林公園,3212,3322
BR11,忠孝復興,3222,3333
BR12,南京復興,2223,3333
BR13,中山國中,3233,3433
BR14,松山機場,3222,3333
BR15,大直,1122,3333
BR16,劍南路,3333,2223
BR17,西湖,3333,1121
BR18,港墘,3334,1111
BR19,文德,3333,1111
BR20,內湖,3223,1111
BR21,大湖公園,2221,1111
BR22,葫洲,2211,1211
BR23,東湖,3312,1121
BR24,南港展覽館,1112,1111
==10:03:44==,,,
BR01,動物園,1111,1111
BR02,木柵,1111,1111
BR03,萬芳社區,1111,----
BR04,萬芳醫院,1121,1112
BR05,辛亥,2221,2112
BR06,麟光,1211,2222
BR07,六張犁,2211,1122
BR08,科技大樓,3111,2122
BR09,大安,3222,2222
BR10,大安森林公園,2231,3233
BR11,忠孝復興,2232,3323
BR12,南京復興,2122,3333
BR13,中山國中,2222,3333
BR14,松山機場,2121,2221
BR15,大直,2212,2323
BR16,劍南路,2111,1223
BR17,西湖,----,1111
BR18,港墘,----,1111
BR19,文德,1211,1111
BR20,內湖,1111,1123
BR21,大湖公園,1111,----
BR22,葫洲,1111,1111
BR23,東湖,----,1111
BR24,南港展覽館,1111,1111
==11:08:27==,,,
BR01,動物園,1111,1111
BR02,木柵,2111,1111
BR03,萬芳社區,2212,----
BR04,萬芳醫院,----,2111
BR05,辛亥,1111,2111
BR06,麟光,----,1111
BR07,六張犁,1211,1112
BR08,科技大樓,2212,1112
BR09,大安,2212,1222
