==06:00:05==,,,
編號,站名,往蘆洲迴龍,往南勢角
O53,三民高中,----,----
O54,蘆洲,----,111111
==19:11:30==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,----
O04,頂溪,111111,111111
O05,古亭,111111,----
O06,東門,----,111111
O07,忠孝新生,121111,111221
O08,松江南京,----,----
O09,行天宮,121111,111111
O10,中山國小,----,----
O11,民權西路,----,----
O12,大橋頭,222211,111111
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,121111,111111
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,111111,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,121211,111111
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==20:08:56==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,----,111111
O05,古亭,111111,111111
O06,東門,111111,122111
O07,忠孝新生,----,----
O08,松江南京,221111,----
O09,行天宮,----,111111
O10,中山國小,----,----
O11,民權西路,222221,111111
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,----,----
O15,三重,121121,----
O16,先嗇宮,----,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,222221,----
O51,三和國中,----,----
O52,徐匯中學,----,111111
O53,三民高中,----,----
O54,蘆洲,----,111111
==21:00:06==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,----
O04,頂溪,111111,111111
O05,古亭,111111,----
O06,東門,----,122111
O07,忠孝新生,121111,111111
O08,松江南京,----,----
O09,行天宮,221111,111111
O10,中山國小,----,----
O11,民權西路,----,----
O12,大橋頭,222211,111121
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,121111,121222
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,111111,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,122111,111111
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==22:09:31==,,,
O01,南勢角,111111,----
