==00:00:10==,,,
編號,站名,往蘆洲迴龍,往南勢角
O01,南勢角,111111,----
O02,景安,----,----
O03,永安市場,----,111111
O04,頂溪,111111,----
O05,古亭,111111,111111
O06,東門,----,----
O07,忠孝新生,----,111111
O08,松江南京,111111,----
O09,行天宮,----,----
O10,中山國小,----,111111
O11,民權西路,----,----
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,111111,----
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,111111
O20,丹鳳,111111,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,111111
O54,蘆洲,----,111111
==06:00:06==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,----,----
O04,頂溪,----,----
O05,古亭,----,----
O06,東門,----,----
O07,忠孝新生,----,111111
O08,松江南京,----,----
O09,行天宮,----,----
O10,中山國小,----,----
O11,民權西路,----,----
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,----
==07:00:06==,,,
O01,南勢角,111111,----
O02,景安,----,----
O03,永安市場,112121,111111
O04,頂溪,112221,111111
O05,古亭,122221,111111
O06,東門,----,----
O07,忠孝新生,111111,111121
O08,松江南京,----,111111
O09,行天宮,111111,----
O10,中山國小,----,212222
O11,民權西路,----,----
O12,大橋頭,111111,222222
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,222222
O17,頭前庄,111111,----
O18,新莊,----,----
O19,輔大,----,111111
O20,丹鳳,111111,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,111111,222222
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==08:00:07==,,,
O01,南勢角,111111,----
O02,景安,222222,111111
O03,永安市場,223323,111111
O04,頂溪,343343,----
O05,古亭,233333,111111
O06,東門,----,111111
O07,忠孝新生,221222,122221
O08,松江南京,221122,222332
O09,行天宮,----,333333
O10,中山國小,111112,----
O11,民權西路,----,333333
O12,大橋頭,121111,444444
---往迴龍---,,,
O13,台北橋,----,444444
O14,菜寮,121111,----
O15,三重,----,----
O16,先嗇宮,----,223333
O17,頭前庄,121111,----
O18,新莊,----,222233
O19,輔大,111111,----
O20,丹鳳,----,222222
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,111111,----
O51,三和國中,----,343343
O52,徐匯中學,111111,----
O53,三民高中,----,222222
O54,蘆洲,----,----
==09:00:12==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,112211,111111
O04,頂溪,122221,111111
O05,古亭,222222,111111
O06,東門,222222,112111
O07,忠孝新生,222112,111221
O08,松江南京,----,222333
O09,行天宮,111111,----
O10,中山國小,111111,232222
O11,民權西路,----,232233
O12,大橋頭,111111,233322
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,112111,----
O15,三重,----,222222
O16,先嗇宮,111111,----
O17,頭前庄,----,----
O18,新莊,----,122222
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,232222
O51,三和國中,----,----
O52,徐匯中學,111111,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==10:03:44==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,122221,111111
O05,古亭,----,----
O06,東門,121111,111111
O07,忠孝新生,111111,111111
O08,松江南京,----,----
O09,行天宮,----,122222
O10,中山國小,111111,----
O11,民權西路,----,122221
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,111111,----
O15,三重,----,111121
O16,先嗇宮,----,----
O17,頭前庄,111111,----
O18,新莊,----,----
O19,輔大,111111,111111
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,222222
O51,三和國中,----,----
O52,徐匯中學,111111,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==11:08:27==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,111111
O04,頂溪,----,----
O05,古亭,112211,111111
O06,東門,111111,----
O07,忠孝新生,----,111111
O08,松江南京,111111,111121
O09,行天宮,----,----
O10,中山國小,111111,----
O11,民權西路,----,122121
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,111111
O16,先嗇宮,111111,----
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,111111
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,122211
O51,三和國中,111111,----
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==12:05:31==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,----,111111
O04,頂溪,111111,----
O05,古亭,112221,111111
O06,東門,111111,111111
O07,忠孝新生,----,----
O08,松江南京,----,111121
O09,行天宮,111111,----
O10,中山國小,----,111111
O11,民權西路,111111,----
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,111111,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,111111
O17,頭前庄,----,----
O18,新莊,111111,----
O19,輔大,----,111111
O20,丹鳳,111111,----
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,111111
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111111,----
O54,蘆洲,----,111111
==14:00:04==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,111111
O05,古亭,----,111111
O06,東門,112111,----
O07,忠孝新生,----,111111
O08,松江南京,121111,111121
O09,行天宮,----,----
O10,中山國小,111111,----
O11,民權西路,----,111111
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,----,----
O15,三重,111111,----
O16,先嗇宮,----,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,111111,----
O51,三和國中,----,----
O52,徐匯中學,----,111111
O53,三民高中,----,----
O54,蘆洲,----,111111
==15:00:06==,,,
O01,南勢角,----,----
O02,景安,111111,111111
O03,永安市場,----,111111
O04,頂溪,111111,----
O05,古亭,111111,111111
O06,東門,111111,111111
O07,忠孝新生,----,----
O08,松江南京,----,111111
O09,行天宮,211111,----
