==12:08:34==,,,
編號,站名,往蘆洲迴龍,往南勢角
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,111111
O04,頂溪,----,----
O05,古亭,----,111111
O06,東門,111111,111111
O07,忠孝新生,----,----
O08,松江南京,----,111221
O09,行天宮,111111,----
O10,中山國小,----,111111
O11,民權西路,111111,----
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,111111,----
O14,菜寮,----,----
O15,三重,----,111111
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,111111,----
O19,輔大,----,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,111111
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111111,----
O54,蘆洲,----,111111
==13:00:06==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,----
O04,頂溪,111211,----
O05,古亭,112221,111111
O06,東門,----,111111
O07,忠孝新生,121121,112121
O08,松江南京,----,----
O09,行天宮,221111,----
O10,中山國小,----,122221
O11,民權西路,----,----
O12,大橋頭,112111,111211
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,111111,----
O15,三重,----,111121
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,111111,----
O19,輔大,----,111111
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111111,111111
O54,蘆洲,----,----
==14:00:06==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,111111
O05,古亭,----,----
O06,東門,121111,111111
O07,忠孝新生,----,111111
O08,松江南京,121111,----
O09,行天宮,----,111121
O10,中山國小,121111,----
O11,民權西路,----,111111
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,----,----
O15,三重,121111,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,111111
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,111111,----
O51,三和國中,----,----
O52,徐匯中學,----,111111
O53,三民高中,----,----
O54,蘆洲,----,111111
==15:01:05==,,,
O01,南勢角,111111,----
O02,景安,111111,----
O03,永安市場,----,111111
O04,頂溪,111111,----
O05,古亭,112111,111111
O06,東門,111111,111111
O07,忠孝新生,----,----
O08,松江南京,----,111111
O09,行天宮,121111,----
O10,中山國小,----,111111
O11,民權西路,----,----
O12,大橋頭,121111,111111
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,111111,----
O15,三重,----,111111
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,111111,----
O19,輔大,----,111111
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111111,----
O54,蘆洲,----,111111
==16:10:34==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,111111
O04,頂溪,111111,----
O05,古亭,111111,122221
O06,東門,----,----
O07,忠孝新生,----,111111
O08,松江南京,221111,----
O09,行天宮,----,122221
O10,中山國小,221111,----
O11,民權西路,----,111111
O12,大橋頭,221221,111121
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,121111,111111
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,111111
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,111111
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==17:01:35==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,122111
O05,古亭,111111,122211
O06,東門,111111,112121
O07,忠孝新生,121111,111111
O08,松江南京,----,111111
O09,行天宮,221111,111111
O10,中山國小,221111,----
O11,民權西路,----,111111
O12,大橋頭,333222,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,----,----
O15,三重,232122,----
O16,先嗇宮,----,111121
O17,頭前庄,----,----
O18,新莊,----,111111
O19,輔大,----,----
O20,丹鳳,111111,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,333332,----
O51,三和國中,----,111111
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==18:07:52==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,222222
O04,頂溪,111111,233221
O05,古亭,112121,234322
O06,東門,122121,233332
O07,忠孝新生,----,222222
O08,松江南京,333222,222223
O09,行天宮,443222,----
O10,中山國小,----,112111
O11,民權西路,333333,----
O12,大橋頭,443433,223332
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,233232,122222
O16,先嗇宮,----,----
O17,頭前庄,----,112121
O18,新莊,221222,----
O19,輔大,----,----
O20,丹鳳,111111,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,111111
O51,三和國中,222222,----
O52,徐匯中學,----,----
O53,三民高中,----,111111
O54,蘆洲,----,111111
==19:00:12==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,111111,222211
O04,頂溪,111111,----
O05,古亭,111111,233332
O06,東門,122221,233232
O07,忠孝新生,232222,122222
O08,松江南京,----,----
O09,行天宮,333222,122221
O10,中山國小,----,111111
O11,民權西路,343332,----
O12,大橋頭,443332,112221
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,323232,111111
O16,先嗇宮,----,----
O17,頭前庄,223222,----
O18,新莊,----,111111
O19,輔大,----,----
O20,丹鳳,111111,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,333333,111111
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,112221,111111
O54,蘆洲,----,----
==20:06:49==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,----
O04,頂溪,111111,122211
O05,古亭,111111,----
O06,東門,111111,122222
O07,忠孝新生,----,111111
O08,松江南京,222121,112121
O09,行天宮,----,----
O10,中山國小,222211,111111
O11,民權西路,----,----
O12,大橋頭,222221,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,----,----
O15,三重,121111,----
O16,先嗇宮,----,----
O17,頭前庄,----,111111
O18,新莊,122111,----
O19,輔大,----,----
O20,丹鳳,111111,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,121211,111111
O52,徐匯中學,----,----
O53,三民高中,----,----
