==12:08:34==,,,
編號,站名,往蘆洲迴龍,往南勢角
O54,蘆洲,----,111111
==21:09:38==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,122111
O05,古亭,111111,----
O06,東門,----,122111
O07,忠孝新生,221111,112122
O08,松江南京,----,111111
O09,行天宮,222211,----
O10,中山國小,----,----
O11,民權西路,----,111111
O12,大橋頭,232221,----
---往迴龍---,,,
O13,台北橋,----,111111
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,221211,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,232222,----
O51,三和國中,----,----
O52,徐匯中學,----,111111
O53,三民高中,----,----
O54,蘆洲,----,111111
==22:09:40==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,122111
O04,頂溪,111111,----
O05,古亭,111111,122211
O06,東門,----,122222
O07,忠孝新生,221121,111111
O08,松江南京,----,----
O09,行天宮,222221,111111
O10,中山國小,----,----
O11,民權西路,----,111111
O12,大橋頭,232222,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,111111
O15,三重,222111,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,111111
O19,輔大,111121,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,233222,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,111111
O54,蘆洲,----,111111
