==06:03:22==,,,
編號,站名,往蘆洲迴龍,往南勢角
O01,南勢角,111111,----
O02,景安,----,----
O03,永安市場,----,111111
O04,頂溪,----,----
O05,古亭,111111,----
O06,東門,----,----
O07,忠孝新生,----,----
O08,松江南京,----,----
O09,行天宮,111111,----
O10,中山國小,----,----
O11,民權西路,111111,----
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,111111,----
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,----,----
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,111111
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,----
==07:11:43==,,,
O01,南勢角,111111,----
O02,景安,111122,----
O03,永安市場,----,111111
O04,頂溪,223322,----
O05,古亭,222221,111111
O06,東門,----,111111
O07,忠孝新生,111111,111121
O08,松江南京,----,222222
O09,行天宮,111111,----
O10,中山國小,----,222232
O11,民權西路,111111,----
O12,大橋頭,111111,222222
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,121111,222222
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,122222
O19,輔大,111111,----
O20,丹鳳,----,112222
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,233332
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111111,122221
O54,蘆洲,----,----
==09:06:50==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,112121,111111
O04,頂溪,122221,----
O05,古亭,122222,111111
O06,東門,122111,111111
O07,忠孝新生,221111,111121
O08,松江南京,----,122222
O09,行天宮,111111,----
O10,中山國小,111111,222222
O11,民權西路,111111,----
O12,大橋頭,111111,233333
---往迴龍---,,,
O13,台北橋,----,232232
O14,菜寮,----,----
O15,三重,111111,----
O16,先嗇宮,----,222222
O17,頭前庄,111111,----
O18,新莊,----,----
O19,輔大,111111,111111
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,111111,----
O51,三和國中,----,222222
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==10:06:23==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,112211,111111
O05,古亭,----,111111
O06,東門,122111,----
O07,忠孝新生,111111,111211
O08,松江南京,----,112212
O09,行天宮,----,----
O10,中山國小,111111,----
O11,民權西路,----,122221
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,112221
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,111111,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,111111,----
O52,徐匯中學,----,121111
O53,三民高中,----,----
O54,蘆洲,----,111111
==11:09:12==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,111111
O04,頂溪,----,----
O05,古亭,112111,111111
O06,東門,111111,111111
O07,忠孝新生,----,----
O08,松江南京,111111,111121
O09,行天宮,----,----
O10,中山國小,111111,----
O11,民權西路,----,111221
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,111111
O16,先嗇宮,111111,----
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,111111
O20,丹鳳,111111,----
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,122221
O51,三和國中,111111,----
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==12:04:16==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,----,111111
O04,頂溪,112111,----
O05,古亭,111111,111111
O06,東門,121111,111111
O07,忠孝新生,----,----
O08,松江南京,111111,111121
O09,行天宮,----,----
O10,中山國小,----,----
O11,民權西路,111111,112121
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,111111,----
O14,菜寮,----,----
O15,三重,----,111121
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,111111,----
O19,輔大,----,111111
O20,丹鳳,111111,----
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,121221
O51,三和國中,----,----
O52,徐匯中學,111111,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==13:11:58==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,112211,----
O05,古亭,122221,111111
O06,東門,122111,111111
O07,忠孝新生,----,111121
O08,松江南京,----,----
O09,行天宮,211111,111121
O10,中山國小,----,----
O11,民權西路,----,----
O12,大橋頭,221211,122222
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,111111
O17,頭前庄,121111,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,111111,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,111111,121111
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==14:00:22==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,----,111111
O05,古亭,111111,111111
O06,東門,112221,----
O07,忠孝新生,----,111121
O08,松江南京,121111,111121
O09,行天宮,----,----
O10,中山國小,----,----
O11,民權西路,121111,111221
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,111121,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,111111
O17,頭前庄,111111,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,111111,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,111111
O51,三和國中,----,----
O52,徐匯中學,111111,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==15:10:16==,,,
O01,南勢角,----,----
O02,景安,111111,111111
O03,永安市場,----,----
O04,頂溪,111111,----
O05,古亭,111111,111111
O06,東門,----,122111
O07,忠孝新生,111111,111111
O08,松江南京,----,----
O09,行天宮,221111,----
O10,中山國小,----,111111
O11,民權西路,----,----
O12,大橋頭,122111,111111
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,121111,111121
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,111111,----
O19,輔大,----,111111
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,111111,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==21:02:17==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,112111
O04,頂溪,111111,----
O05,古亭,111111,122211
O06,東門,111111,222222
O07,忠孝新生,----,111121
O08,松江南京,222121,----
O09,行天宮,----,111111
