==06:00:05==,,,
編號,站名,往蘆洲迴龍,往南勢角
O01,南勢角,111111,----
O02,景安,----,----
O03,永安市場,----,111111
O04,頂溪,----,----
O05,古亭,----,----
O06,東門,----,111111
O07,忠孝新生,----,----
O08,松江南京,----,----
O09,行天宮,----,----
O10,中山國小,----,----
O11,民權西路,----,----
O12,大橋頭,----,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,111111,----
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,----
==07:00:05==,,,
O01,南勢角,111111,----
O02,景安,----,----
O03,永安市場,112211,111111
O04,頂溪,122211,111111
O05,古亭,122221,----
O06,東門,----,111111
O07,忠孝新生,111111,111111
O08,松江南京,----,111121
O09,行天宮,111111,----
O10,中山國小,----,122222
O11,民權西路,----,----
O12,大橋頭,121111,----
---往迴龍---,,,
O13,台北橋,----,122222
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,111111,122222
O18,新莊,----,----
O19,輔大,----,121221
O20,丹鳳,111111,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,111111,222222
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,121111
==09:00:03==,,,
O01,南勢角,111111,----
O02,景安,111112,111111
O03,永安市場,112211,111111
O04,頂溪,122221,111111
O05,古亭,122222,111111
O06,東門,222221,112111
O07,忠孝新生,----,111221
O08,松江南京,121111,222222
O09,行天宮,111111,222322
O10,中山國小,111111,----
O11,民權西路,----,233223
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,233333
O14,菜寮,121111,----
O15,三重,----,222222
O16,先嗇宮,----,----
O17,頭前庄,111111,----
O18,新莊,----,122222
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,111111,----
O51,三和國中,----,222232
O52,徐匯中學,111121,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==11:12:56==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,112211,111111
O05,古亭,112221,----
O06,東門,----,111111
O07,忠孝新生,----,111111
O08,松江南京,111111,----
O09,行天宮,111111,111221
O10,中山國小,----,----
O11,民權西路,----,111121
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,111111,111111
O15,三重,----,----
O16,先嗇宮,----,----
O17,頭前庄,----,----
O18,新莊,111111,111111
O19,輔大,----,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111111,111111
O54,蘆洲,----,----
==13:14:30==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,112211,----
O05,古亭,112211,111111
O06,東門,----,111111
O07,忠孝新生,111111,111111
O08,松江南京,----,----
O09,行天宮,----,122121
O10,中山國小,111111,----
O11,民權西路,----,----
O12,大橋頭,111111,112222
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,111111,111111
O17,頭前庄,----,----
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,111111,111111
O21,迴龍,----,----
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,111111,111111
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==14:00:01==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,111111
O05,古亭,----,----
O06,東門,111111,111111
O07,忠孝新生,----,111111
O08,松江南京,111111,111111
O09,行天宮,----,----
O10,中山國小,111111,----
O11,民權西路,----,111111
O12,大橋頭,111111,----
---往迴龍---,,,
O13,台北橋,----,111221
O14,菜寮,----,----
O15,三重,112111,----
O16,先嗇宮,----,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,111111,----
O20,丹鳳,----,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,----,111111
O54,蘆洲,----,111111
==15:00:05==,,,
O01,南勢角,----,----
O02,景安,111111,111111
O03,永安市場,----,111111
O04,頂溪,111111,----
O05,古亭,111111,111111
O06,東門,111111,111111
O07,忠孝新生,----,----
O08,松江南京,----,----
O09,行天宮,111111,----
O10,中山國小,----,111111
O11,民權西路,----,----
O12,大橋頭,121111,----
---往迴龍---,,,
O13,台北橋,----,111211
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,111111,----
O17,頭前庄,----,111111
O18,新莊,----,----
O19,輔大,----,----
O20,丹鳳,111111,----
O21,迴龍,111111,111111
---往蘆洲---,,,
O50,三重國小,111111,----
O51,三和國中,----,111111
O52,徐匯中學,----,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==16:00:04==,,,
O01,南勢角,111111,----
O02,景安,----,111111
O03,永安市場,111111,----
O04,頂溪,111111,111111
O05,古亭,----,122121
O06,東門,111111,----
O07,忠孝新生,----,111111
O08,松江南京,221111,----
O09,行天宮,221111,111111
O10,中山國小,----,----
O11,民權西路,----,111111
O12,大橋頭,222211,----
---往迴龍---,,,
O13,台北橋,----,----
O14,菜寮,----,----
O15,三重,----,----
O16,先嗇宮,----,111111
O17,頭前庄,111111,----
O18,新莊,----,----
O19,輔大,----,111111
O20,丹鳳,111111,----
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,----
O51,三和國中,----,111111
O52,徐匯中學,111111,----
O53,三民高中,----,----
O54,蘆洲,----,111111
==17:00:07==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,111111
O04,頂溪,111111,122211
O05,古亭,111111,122221
O06,東門,111111,222112
O07,忠孝新生,----,111112
O08,松江南京,221111,111111
O09,行天宮,222221,----
O10,中山國小,----,111111
O11,民權西路,333332,----
O12,大橋頭,----,111111
---往迴龍---,,,
O13,台北橋,333223,----
O14,菜寮,----,----
O15,三重,----,111111
O16,先嗇宮,----,----
O17,頭前庄,222222,----
O18,新莊,----,111111
O19,輔大,----,----
O20,丹鳳,----,111111
O21,迴龍,----,111111
---往蘆洲---,,,
O50,三重國小,----,111111
O51,三和國中,----,----
O52,徐匯中學,----,----
O53,三民高中,111121,111111
O54,蘆洲,----,----
==18:00:06==,,,
O01,南勢角,111111,----
O02,景安,111111,111111
O03,永安市場,----,112211
O04,頂溪,111111,----
O05,古亭,112111,233322
O06,東門,222222,233322
O07,忠孝新生,----,222223
O08,松江南京,332222,----
O09,行天宮,333232,121222
